algo_name,avg_faults,avg_fault_rate,avg_hits,avg_hit_rate,avg_evictions,min_frames,max_frames,faults_at_minF,faults_at_maxF,Δ% vs Ótimo_faults,Δ% vs Ótimo_hits
Ótimo,217.8,0.27225,582.2,0.72775,187.8,12,48,400,92,0.0,0.0
WSClock,395.8,0.49474999999999997,404.2,0.50525,365.8,12,48,632,176,-81.72635445362718,-30.573686018550333
WorkingSet,399.4,0.49924999999999997,400.6,0.50075,369.4,12,48,646,172,-83.37924701561063,-31.19203023016146
LRU,399.4,0.49924999999999997,400.6,0.50075,369.4,12,48,646,172,-83.37924701561063,-31.19203023016146
