algo_name,avg_faults,avg_fault_rate,avg_hits,avg_hit_rate,avg_evictions,min_frames,max_frames,faults_at_minF,faults_at_maxF,Δ% vs Ótimo_faults,Δ% vs Ótimo_hits
Ótimo,81.6,0.10200000000000001,718.4,0.898,51.6,12,48,131,56,0.0,0.0
WSClock,116.6,0.14575,683.4,0.8542500000000001,86.6,12,48,180,63,-42.892156862745104,-4.871937639198219
WorkingSet,117.2,0.1465,682.8,0.8535,87.2,12,48,178,65,-43.62745098039217,-4.9554565701559055
LRU,117.2,0.1465,682.8,0.8535,87.2,12,48,178,65,-43.62745098039217,-4.9554565701559055
